location;total_cases_per_million;total_deaths_per_million;total_vaccinations_per_hundred;gdp_per_capita;population_density;hospital_beds_per_thousand;median_age;cluster
Montenegro;0.7878162360901788;0.5371821149745168;0.36182154653133647;0.1354387158097452;0.005597851840151636;0.29034749034749036;0.7250755287009061;1
Morocco;0.06337219243665973;0.05053144030939487;0.34841372322063063;0.05868679905010874;0.009868899068077712;0.07722007722007723;0.43806646525679754;0
Mozambique;0.013382748833019195;0.008282973981581258;0.1332617588252641;0.004083961416773225;0.004517453798767968;0.04633204633204633;0.07854984894259825;0
Myanmar;0.029060451305341885;0.05089171444670283;0.34376117578987836;0.04240281348355735;0.010076133312272943;0.06177606177606178;0.4229607250755287;0
Nepal;0.0866718561155775;0.05823436891310054;0.3996542466623954;0.01532203660377061;0.025582056547148953;0.015444015444015443;0.2990936555891239;0
Netherlands;0.9298869684883299;0.18712381303079664;0.7321876914098863;0.4111938349950927;0.06401010898752174;0.24864864864864858;0.8489425981873111;1
New Zealand;0.46637783121627874;0.027042532655778752;0.7328635243959943;0.30466390010660993;0.0020508608434686463;0.1938223938223938;0.6888217522658608;1
Nicaragua;0.005669495567231707;0.005455707924263286;0.6485822709870233;0.04007934337372401;0.006278944874427423;0.061776061776061764;0.3685800604229606;0
Niger;0.00015681700902088556;0.0016059250707880137;0.049060015078283135;0.0022770282287513785;0.0018916442900015799;0.015444015444015443;0.0;0
North Macedonia;0.32822327786602323;0.5972423800234586;0.2100779548959788;0.10707407892849294;0.010187332175011846;0.3227799227799228;0.7250755287009061;2
Norway;0.39095240434818773;0.054787376773896;0.6699745693587653;0.5516161946623488;0.0015770020533880907;0.2702702702702703;0.7432024169184288;1
Oman;0.14054658752079546;0.08966214248567261;0.19366611902843958;0.32078843521477995;0.001642710472279261;0.11583011583011583;0.47129909365558903;0
Pakistan;0.016762341350233568;0.01871712312955626;0.36293217295405983;0.03761336549175588;0.03204422682040752;0.03861003861003861;0.25377643504531716;0
Panama;0.4118463439452539;0.2642098846759656;0.46467732870811673;0.18581740634822677;0.006716158584741748;0.16988416988416985;0.4410876132930513;2
Paraguay;0.1940946354049257;0.2871558396522177;0.21603208915136146;0.0702284665338085;0.0019156531353656614;0.09266409266409269;0.3444108761329305;0
Peru;0.3073697259867453;0.9999999999999999;0.8131980176222284;0.09955307429772138;0.0029252882640972986;0.11583011583011583;0.4229607250755287;2
Philippines;0.06256473702159114;0.05376504288301616;0.25738188802197937;0.059668786824541555;0.0442129205496762;0.0694980694980695;0.3051359516616314;0
Poland;0.39834715926334785;0.4182771719298222;0.5349974549826539;0.22838397046433975;0.01542252408782183;0.5034749034749035;0.8066465256797579;2
Portugal;0.9408067800629495;0.32755275463913835;0.8719881593907349;0.2345801774355069;0.013949139156531355;0.25405405405405407;0.9395770392749243;1
Qatar;0.3102133114295043;0.03375650050028532;0.8527278366240741;1.0000000000000002;0.028474490601800666;0.08494208494208494;0.5075528700906344;1
Romania;0.2667578710233759;0.36611491101448257;0.25829603526047973;0.19481474677650348;0.010507028905386195;0.5243243243243244;0.8429003021148034;2
Russia;0.23372118335254358;0.2765611860041833;0.3454224402956574;0.2073089028398007;0.0008643184331069342;0.613899613899614;0.7401812688821752;2
Saint Lucia;0.23582842779823848;0.20269633291998213;0.22278101897788444;0.10570344141219098;0.03679797820249566;0.09266409266409267;0.5981873111782474;2
